Product Brand,Product Name,MRP,Offer Price,SKU Code,City,Pin Code,Company EAN No.,Company ASIN No.,Company Grofers ID,Company JIO ID,Company Flipkart FSN No.
Fortune Foods,Fortune Sunflower Oil 5 Ltr Jar,NA,957,1231,Bangalore,560004,274148,NA,14626,NA,EDOET83F38NQEFYF
Fortune Foods,Fortune Soyabean Oil 5 ltr Jar,NA,805,1232,Bangalore,560004,276762,B07533D8MB,127064,490005533,NA
